,Centre_Name,Commodity_Name,Season,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,AGARTALA,ATTA,Kharif,6.292406839,7.011038261,7.083430925,7.782279636,8.382464063,8.494850941,8.910994378,9.283252816,9.647945143,10.0269644,10.083333333333334,10.954545454545457,11.326923076923077,13.023809523809524,15.772727272727272,16.068181818181817,16.09090909090909,19.52173913043478,19.3,21.0,19.4062129,21.35071544,22.77480816,21.760391,21.772366,21.993967,22.286057,22.556816,22.760609,22.886679,22.946148,22.961227
1,AGARTALA,ATTA,Rabi,6.292406839,7.011038261,7.083430925,7.782279636,8.382464063,8.494850941,8.910994378,9.283252816,9.647945143,10.0269644,10.0,11.272727272727272,11.295454545454543,13.25,15.428571428571429,16.681818181818183,16.857142857142858,19.35,19.444444444444443,18.428571428571427,19.4062129,21.35071544,22.77480816,21.692467,21.589716,21.750214,22.028097,22.323702,22.579838,22.773556,22.904331,22.984505
2,AGARTALA,ATTA,Zaid,6.292406839,7.011038261,7.083430925,7.782279636,8.382464063,8.494850941,8.910994378,9.283252816,9.647945143,10.0269644,10.47749676,10.4375,11.409090909090908,11.27777777777778,15.7,16.666666666666668,16.0,18.75,20.0,21.0,19.4062129,21.35071544,22.77480816,22.542044,22.99094,23.49199,23.942366,24.298538,24.559395,24.745913,24.885487,25.002684
3,AGARTALA,Brinjal,Kharif,6.682930238,7.446161825,8.29378684,9.112048824,9.814787617,11.31126843,13.03592075,13.58049874,14.11400826,14.74818,15.33234224,15.93301698,16.64022661,17.66478408,18.86658559,20.15015015,19.71698113207547,16.86824067,16.67492355,17.98371425,22.86887761,19.18238994,20.46185535,20.59466,20.854204,21.183964,21.50889,21.79547,22.027206,22.198008,22.310892,22.376701
4,AGARTALA,Brinjal,Rabi,6.682930238,7.446161825,8.29378684,9.112048824,9.814787617,11.31126843,13.03592075,13.58049874,14.11400826,14.74818,15.33234224,15.93301698,16.64022661,17.66478408,18.86658559,18.0,18.81188118811881,20.0,16.67492355,17.98371425,22.86887761,19.18238994,20.46185535,19.811504,19.480883,19.308441,19.229616,19.211329,19.23377,19.285639,19.360342,19.453459
5,AGARTALA,Brinjal,Zaid,6.682930238,7.446161825,8.29378684,9.112048824,9.814787617,11.31126843,13.03592075,13.58049874,14.11400826,14.74818,15.33234224,15.93301698,16.64022661,17.66478408,18.86658559,20.15015015,18.473684210526315,16.86824067,16.67492355,17.98371425,22.86887761,19.18238994,20.46185535,20.633474,20.537653,20.46283,20.407452,20.377773,20.374025,20.393661,20.4361,20.50433
6,AGARTALA,Cabbage,Kharif,6.225856188,6.936887117,7.726539449,8.488837013,9.143512509,10.53764263,11.05385779,11.5264419,11.97925785,12.51751082,13.01331824,13.52314064,14.12338448,14.99297716,16.01300562,17.47191011,20.0,15.08014113,13.57776062,16.05042933,19.72087264,15.53894737,16.57539516,20.831135,21.918657,22.472805,22.678638,22.747139,22.796366,22.87704,23.002209,23.164791
7,AGARTALA,Cabbage,Rabi,6.225856188,6.936887117,7.726539449,8.488837013,9.143512509,10.53764263,11.05385779,11.5264419,11.97925785,12.51751082,13.01331824,13.52314064,14.12338448,14.99297716,16.01300562,17.47191011,20.0,20.0,13.57776062,16.05042933,19.72087264,15.53894737,16.57539516,16.61277,16.922707,17.407787,17.976171,18.577122,19.169464,19.715755,20.186985,20.569592
8,AGARTALA,Masoor Dal,Kharif,13.21849853,14.72813206,16.40469154,18.02317242,19.41315427,22.37311775,23.46912593,24.449553,25.41005301,26.55177953,27.6034718,28.68489224,29.958112,31.80266667,34.18914334,48.41893305,67.5,56.73076923076923,49.43478260869565,65.7,70.10752688172043,75.0,73.95286439,76.84752,80.69238,85.36566,90.06788,94.6002,98.90969,103.00776,106.91494,110.646866
9,AGARTALA,Masoor Dal,Rabi,13.21849853,14.72813206,16.40469154,18.02317242,19.41315427,22.37311775,23.46912593,24.449553,25.41005301,26.55177953,27.6034718,28.68489224,29.958112,31.80266667,34.18914334,48.41893305,68.0,60.01086956521739,51.09090909090909,61.37878787878788,72.9390243902439,75.5,75.0,72.92701,75.18834,78.98788,83.27858,87.54051,91.58928,95.3797,98.908394,102.17554
10,AGARTALA,Masoor Dal,Zaid,13.21849853,14.72813206,16.40469154,18.02317242,19.41315427,22.37311775,23.46912593,24.449553,25.41005301,26.55177953,27.6034718,28.68489224,29.958112,31.80266667,34.18914334,48.41893305,57.61961367,59.80645161290322,51.41025641025641,58.68181818181818,68.69444444444444,75.0,75.0,73.09261,75.31612,79.02566,83.270035,87.53268,91.61474,95.454994,99.03897,102.36173
11,AGARTALA,Moong Dal,Kharif,19.21207282,21.40620927,23.84295976,26.19529747,28.21552937,32.51760905,34.1105728,35.53554829,36.9315613,38.59097315,40.11952713,42.58973156,44.4801374,47.21882952,42.78591682,42.0,48.20754716981132,70.40350877192982,63.04347826086956,61.35714285714285,69.55357142857143,70.93406593406593,99.25530504,94.25454,100.192314,103.683075,107.93961,112.24057,116.595215,120.95111,125.29139,129.61578
12,AGARTALA,Moong Dal,Rabi,19.21207282,21.40620927,23.84295976,26.19529747,28.21552937,32.51760905,34.1105728,35.53554829,36.9315613,38.59097315,40.11952713,42.58973156,44.4801374,47.21882952,42.78591682,42.0,53.366336633663366,67.75,66.02597402597402,64.34848484848484,70.52439024390245,70.72222222222223,73.35714285714286,78.02178,81.48418,85.17338,88.79281,92.32804,95.75625,99.0511,102.18344,105.12401
